Aggrigator_id,Category_Code,Channel,Entity_Id,Key
,230000,Cheques,OM ENTERPRISES,OM ENTERPRISES
,230000,Cheques,REDINGTON INDIA,REDINGTON INDIA
,230000,Cheques,SANOFI INDIA LIMITED,SANOFI INDIA
,230000,Cheques,SEABRIDGE MARINE AGENCIES,SEABRIDGE MARINE AGENCIES
,230000,Cheques,SSND MEDIMART,SSND MEDIMART LIM
,230000,Cheques,ULTRA TECH CEMENT,ULTRA TECH CEMENT
,230000,Cheques,UNITED SPIRITS,UNITED SPIRITS
,230000,Cheques,APOLLO TYRES,APOLLO TYRES
,230100,Cheques,BENNETTCOLEMANCO LDARYAGA,BENNETTCOLEMANCO LDARYAGA
,230100,Cheques,BSB MARKETING,BSB MARKETING
,230100,Cheques,HINDUSTAN MEDIA VENTURES,HINDUSTAN MEDIA VENTURES
,230100,Cheques,HT MEDIA,HT MEDIA CC
,230300,Cheques,TPCL,TPCL
,230300,Cheques,JUST DIAL,JUST DIAL
,250000,Cheques,AMERICAN EXPRESS,AMERICAN EXPRESS BANKING
,250000,Cheques,AXIS BANK CREDIT CARD,AXIS BANK CREDIT CARD DIV
,250000,Cheques,CITI BANK CREDIT CARD,CITIBANK NA CREDIT CARD
,250000,Cheques,HDFC BANK CREDIT CARD,HDFC BANK CREDIT CARD
,250000,Cheques,ICICI BANK CREDIT CARD,ICICI BANK CREDIT CARD
,250000,Cheques,INDUSIND BANK CREDIT CARD,INDUSIND BANK CR CARD
,250000,Cheques,SCB,SCB CARD
,250000,Cheques,AMERICAN EXPRESS BANKING,AMERICAN EXPRESS BANKING
,250000,Cheques,AXIS BANK CREDIT CARD DIV,AXIS BANK CREDIT CARD DIV
,250000,Cheques,AXIS BANK LTDCREDIT PROCE,AXIS BANK CREDIT PROCE
,250000,Cheques,CITIBANK NA CREDIT CARD,CITIBANK NA CREDIT CARD
,250000,Cheques,CREDIT CARDBRANCH COLLECT,CREDIT CARDBRANCH COLLECT
,250000,Cheques,HDFC BANK LTD CREDIT CARD,HDFC BANK CREDIT CARD
,250000,Cheques,INDUSINDBANK CR CARD,INDUSINDBANK CR CARD
,250000,Cheques,SCBCARDS,SCBCARDS
,270000,Cheques,HDFC PAREL,HDFC PAREL DEPOSI
,290000,Cheques,SOTC INDIA,SOTC TRAVEL
,290500,Cheques,EMBASSY OF GREECE,EMBASSYOFGREECECONSULARFE
,300000,Cheques,AMAZON DISTRIBUTORS,AMAZON DISTRIBUTORS L
,300000,Cheques,ARYAN WELLNESS,ARYAN WELLNESS LI
,300000,Cheques,C M ASSOCIATES,C M ASSOCIATES LI
,300000,Cheques,CG MARKETING,CG MARKETING SW
,300000,Cheques,CIPLA LIMITED,CIPLA
,300000,Cheques,COLOURTEX INDUSTRIES,COLOURTEX INDUSTRIES PRIV
,300000,Cheques,CPL TRADING COMPANY,CPL TRADING COMPANY
,300000,Cheques,D R DISTRIBUTOR,D R DISTRIBUTOR
,300000,Cheques,DELHI MEDIART PRIVATE LIMITED,HI MEDIART LI
,300000,Cheques,EMCURE PHARMACEUTICALS LIMITED,EMCURE PHARMACEUTICALS LI
,300000,Cheques,FILATEX INDIA,FILATEX INDIA
,300000,Cheques,GREENASIA DISTRIBUTION,GREENASIA DISTRIBUTION NE
,300000,Cheques,HETTICH,HETTICH INDIA
,300000,Cheques,INDOSPIRIT DISTRIBUTION LIMITED,INDOSPIRIT DISTRIBUTION L
,300000,Cheques,J K TYRE,J K TYRE INDUSTRIES L
,300000,Cheques,JK TYRE,JK TYRE AND INDUSTRIES LT
,300000,Cheques,KRISHNA ENTERPRISE,KRISHNA ENTERPRISE
,300000,Cheques,LUPIN LIMITED,LUPIN
,300000,Cheques,MOTIRAM AND SONS,MOTIRAM AND SONS
,300000,Cheques,MRF LIMITED,MRF MICR CHQS
,300000,Cheques,NEELKANTH DRUGS,NEELKANTH DRUGS
,300000,Cheques,NIRMAN ASSOCIATES PG,NIRMAN ASSOCIATES PG
,300000,Cheques,OM ENTERPRISES,OM ENTERPRISES
,300000,Cheques,PATIRAJPUR UCACS,PATIRAJPUR UCACS
,300000,Cheques,PHOENIX CONTACT,PHOENIX CONTACT INDIA P
,300000,Cheques,RAMDAS SALES CORPORATION,RAMDAS SALES CORPORATION
,300000,Cheques,S R M PLASTOCHEM,S R M PLASTOCHEM
,300000,Cheques,S S ENTERPRISES,S S ENTERPRISES
,300000,Cheques,SADGURU AGENCY,SADGURU AGENCY
,300000,Cheques,SCHINDLER INDIA,SCHINDLER INDIA
,300000,Cheques,SHREE CEMENT,SHREE CEMENT
,300000,Cheques,SHREE ENTERPRISES,SHREE ENTERPRISES
,300000,Cheques,SHREE MOMAI ENTERPRISES,SHREE MOMAI ENTERPRISES
