ENTERTAINMENT/SHOPPING/LIFESTYLE,MOVIE AND ENTERTAINMENT,,170400,"['movie', 'book my show', 'film','inox']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,HOBBIES OR ADVENTURES,,170500,"['photograph', 'art', 'camping', 'photo', 'trek', 'paint', 'rafting', 'trekking', 'diving', 'painting']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,PET CARE,,170600,"['cat', 'pet care', 'pets', 'dog']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,SPORTS,,170700,"['cricket', 'football', 'volley ball', 'kabaddi', 'basket ball', 'sports', 'hockey']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,JEWELERY,,170800,"['diamond', 'jewelery', 'jewel', 'ornament', 'necklace', 'ring']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,OPTICAL STORES,,170900,"['eye glasses', 'lenskart', 'optical stores', 'shades', 'goggles', 'eye lens', 'spectacle', 'eye wear', 'sun glasses', 'chashma']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,WATCH STORES,,171000,"['wall clock', 'watch', 'wrist watch']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,CLOTHING SHOES ACCESSORIES,,171100,"['sneaker', 'shirt', 'pant', 'jacket', 'loafer', 'shoe', 'apparel', 'jean', 'clothing', 'chino']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,PERSONAL CARE AND COSMETICS,,171200,"['nail polish', 'lipstick', 'eyeliner', 'nail paint', 'kajal', 'cosmetics', 'personal care']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,SALON OR SPA AND WELLNESS,,171300,"['salon', 'manicure', 'pedicure', 'parlour', 'hair', 'scissor', 'facial', 'spa', 'beard']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,BABY AND TOY STORES,,171400,"['soft toy', 'toy', 'baby toy']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,BOOK STORES,,171500,"['book store', 'book', 'comic', 'novel']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,ELECTRONICS AND DIGITAL,,171600,"['television', 'led', 'tv', 'mobile', 'lcd', 'electronics']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,MUSIC ITUNES APPSTORE,,171700,"['spotify', 'wynk', 'gaana', 'itunes', 'appstore', 'music', 'saavan']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,GROCERIES,,171800,"['grocery', 'daily need', 'mango', 'grocerie', 'fruit', 'vegetable', 'egg', 'bread']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,STATIONARIES AND OFFICE SUPPLIES,,171900,"['pencil', 'stationaries', 'notepad', 'office supplies']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,SUPERMARKET,,172000,"['market', 'hypermarket', 'supermarket', 'super store']"
